,Music,Techno,Movies,History,Mathematics,Pets,Spiders,Loneliness,Parents Advice,Internet usage,Finances,Age,Siblings,Gender,Village - town
337,5,5,5,3,4,5,3,2,1,few hours a day,1,17,2,male,city
338,5,2,5,2,3,1,2,4,3,few hours a day,1,15,3,female,city
339,5,1,5,5,1,5,2,3,4,few hours a day,2,18,2,female,city
340,5,1,4,5,1,1,5,2,3,few hours a day,4,18,2,female,village
341,5,5,5,3,1,2,5,5,2,most of the day,1,16,1,male,village
342,5,3,3,2,4,5,5,2,4,most of the day,3,20,1,female,city
343,5,1,4,2,1,5,3,3,4,less than an hour a day,3,29,2,female,city
344,5,1,4,1,1,1,3,2,4,few hours a day,5,24,3,female,village
345,4,3,4,3,3,4,1,3,3,less than an hour a day,4,18,0,female,city
346,5,4,5,5,1,5,1,2,3,few hours a day,1,17,1,male,city
347,5,2,5,2,2,1,2,4,3,most of the day,1,18,1,male,city
348,5,2,5,3,3,4,5,3,3,few hours a day,2,16,1,male,city
349,5,4,5,3,2,5,5,2,4,few hours a day,3,17,2,female,city
350,2,2,5,2,2,3,1,2,3,most of the day,3,20,2,male,city
351,5,1,5,3,5,5,5,3,4,few hours a day,4,16,1,female,village
352,5,1,5,1,1,2,3,4,3,few hours a day,3,19,1,male,city
353,5,1,5,4,2,3,3,4,4,few hours a day,3,18,1,female,city
354,5,3,5,3,4,4,3,1,5,few hours a day,4,20,1,female,city
355,5,2,5,4,4,1,5,3,5,few hours a day,4,19,1,male,city
356,4,2,4,5,5,3,1,1,3,few hours a day,3,18,1,male,city
357,5,3,4,1,3,5,5,3,4,few hours a day,2,21,0,male,city
358,4,2,5,5,2,5,4,3,4,less than an hour a day,4,19,2,male,city
359,5,2,5,5,1,5,5,3,3,few hours a day,1,20,2,female,city
360,5,1,5,4,5,2,2,4,4,few hours a day,3,23,1,female,city
361,5,1,5,4,1,5,1,1,3,less than an hour a day,4,19,1,female,village
362,5,2,5,5,1,3,5,3,4,few hours a day,5,19,2,female,city
363,5,1,5,5,1,3,5,3,4,few hours a day,5,19,2,female,city
364,2,2,5,3,2,1,4,4,4,few hours a day,4,20,2,male,city
365,5,2,5,5,1,1,1,2,3,few hours a day,3,24,5,male,village
366,5,3,5,1,5,1,1,3,5,most of the day,4,19,1,male,city
367,5,3,5,5,1,3,1,3,4,few hours a day,5,20,2,male,village
368,5,,5,3,1,5,1,3,4,few hours a day,4,18,1,female,
369,5,5,4,4,4,5,2,2,3,less than an hour a day,4,17,1,male,village
370,5,1,5,4,2,5,5,2,3,few hours a day,3,19,2,female,village
371,5,2,5,2,5,3,2,1,3,few hours a day,3,19,4,female,village
372,4,4,4,3,1,1,1,2,2,most of the day,3,20,2,male,city
373,5,1,5,5,1,1,2,4,3,most of the day,4,20,0,male,city
374,5,3,5,2,1,5,5,4,4,few hours a day,1,21,1,female,city
375,5,,5,2,3,1,5,2,3,few hours a day,4,20,2,female,city
376,5,1,5,2,1,5,5,2,4,few hours a day,1,20,1,female,city
377,5,1,5,3,5,4,1,4,3,few hours a day,3,17,0,female,village
378,5,3,5,4,5,5,2,2,4,few hours a day,2,20,2,female,city
379,5,2,5,3,3,3,2,3,4,few hours a day,3,25,2,male,city
380,5,5,5,3,2,4,2,2,3,most of the day,4,20,1,female,city
381,5,1,5,5,2,5,2,1,3,few hours a day,2,21,1,female,city
382,5,4,5,4,1,5,5,2,4,few hours a day,2,21,0,female,village
383,5,2,5,1,5,1,2,2,3,most of the day,3,22,1,male,city
384,5,1,2,2,5,1,5,4,3,few hours a day,2,19,1,female,city
385,5,3,5,3,3,1,1,3,2,few hours a day,2,25,1,male,city
386,5,4,4,2,3,2,2,3,3,few hours a day,4,19,0,female,city
387,5,2,5,2,2,5,1,3,3,few hours a day,4,25,2,female,city
388,5,3,5,3,4,5,5,2,3,few hours a day,3,25,1,female,city
389,5,1,5,2,2,3,2,3,5,few hours a day,4,21,0,female,city
390,4,3,5,5,3,2,2,1,4,few hours a day,4,20,2,male,city
391,4,1,4,4,4,2,3,3,4,few hours a day,3,24,2,female,city
392,5,2,5,3,3,1,3,4,3,less than an hour a day,4,30,2,female,city
393,5,1,5,5,1,3,1,3,3,few hours a day,4,21,1,male,city
394,5,1,4,1,4,3,5,3,1,few hours a day,3,27,3,male,city
395,5,5,5,4,4,1,1,3,2,few hours a day,3,21,1,male,city
396,5,2,2,2,4,1,4,4,4,few hours a day,3,16,0,female,city
397,5,1,5,1,4,5,2,3,4,most of the day,3,21,1,female,village
398,5,5,5,3,4,1,3,2,5,few hours a day,3,20,1,female,village
399,5,1,5,5,4,5,1,1,2,less than an hour a day,3,22,1,female,city
400,5,4,5,5,5,1,2,2,3,most of the day,3,19,1,male,village
401,5,1,4,2,1,1,1,2,4,few hours a day,4,20,1,female,village
402,5,3,5,5,1,5,1,4,4,most of the day,3,25,1,male,city
403,2,1,4,2,2,4,1,4,3,less than an hour a day,2,23,2,male,village
404,5,5,5,2,2,5,2,4,3,few hours a day,5,20,2,female,village
405,4,2,4,5,2,3,3,3,4,few hours a day,3,20,1,female,city
406,5,4,5,1,1,1,1,1,3,less than an hour a day,4,21,1,female,village
407,5,2,5,4,2,5,4,2,3,less than an hour a day,3,19,1,female,city
408,5,1,4,3,1,1,3,2,4,few hours a day,2,21,1,female,city
409,5,4,5,1,3,3,5,5,2,few hours a day,3,16,0,female,city
410,5,1,5,3,4,5,1,2,3,few hours a day,3,20,1,male,village
411,5,2,5,5,1,3,5,2,4,few hours a day,2,18,0,female,city
412,5,5,2,4,1,5,1,5,3,less than an hour a day,3,21,1,female,city
413,5,3,5,4,3,4,3,3,3,few hours a day,3,21,2,male,village
414,5,2,5,4,3,3,4,1,3,few hours a day,3,18,2,male,city
415,5,3,5,1,1,1,5,5,3,few hours a day,1,19,1,female,village
416,4,4,,2,5,3,3,3,2,few hours a day,3,20,1,female,village
417,5,1,5,4,5,5,4,5,3,most of the day,2,18,1,male,village
418,5,1,5,1,1,5,5,2,3,less than an hour a day,3,18,1,female,village
419,5,3,3,3,1,2,1,2,3,less than an hour a day,3,23,0,female,village
420,5,1,5,5,1,2,3,2,4,few hours a day,3,20,1,female,village
421,5,2,5,5,4,5,2,3,3,few hours a day,5,18,1,female,village
422,5,5,5,4,1,5,5,3,4,few hours a day,4,28,1,female,city
423,5,2,4,2,1,5,2,2,3,few hours a day,5,24,1,female,village
424,5,5,5,3,1,5,5,3,3,few hours a day,2,19,2,female,city
425,5,2,5,3,1,5,5,5,4,less than an hour a day,4,21,3,female,village
426,5,1,4,1,1,1,5,1,2,less than an hour a day,3,22,1,female,city
427,5,2,5,3,1,1,5,3,2,few hours a day,1,19,1,male,city
428,5,3,5,2,2,5,4,4,4,few hours a day,4,18,2,female,city
429,5,1,5,2,1,4,2,3,3,most of the day,3,21,0,female,city
430,5,3,5,4,2,4,3,3,3,less than an hour a day,4,19,1,female,village
431,4,5,5,2,5,3,3,3,4,few hours a day,5,19,2,male,village
432,5,1,4,5,2,3,2,4,2,few hours a day,3,20,1,male,city
433,5,2,5,3,5,1,1,3,3,few hours a day,3,19,3,female,city
434,5,4,5,5,1,4,3,4,4,few hours a day,2,18,1,male,city
435,5,1,4,2,1,5,5,3,4,few hours a day,2,18,1,female,city
436,4,3,4,2,2,2,3,5,3,few hours a day,1,19,1,male,city
437,5,4,5,1,1,1,5,3,3,few hours a day,3,18,0,female,city
438,5,1,5,1,1,4,5,5,3,few hours a day,1,18,2,female,village
439,5,4,5,4,3,1,1,1,4,few hours a day,4,19,1,male,city
440,5,4,5,4,1,3,5,3,5,few hours a day,3,19,1,female,city
441,5,1,5,1,2,5,1,3,3,few hours a day,3,19,1,female,city
442,5,2,5,2,3,5,2,4,3,few hours a day,2,18,6,female,city
443,4,3,4,5,3,1,1,4,4,few hours a day,3,18,3,female,village
444,5,4,5,3,4,1,2,4,3,few hours a day,4,19,1,female,city
445,5,1,5,4,1,5,5,2,4,few hours a day,3,20,1,female,city
446,4,4,5,1,3,2,4,3,3,few hours a day,2,19,1,male,city
447,3,1,4,5,3,4,4,4,5,less than an hour a day,5,26,3,female,village
448,5,3,5,3,4,4,3,2,3,few hours a day,2,19,1,female,village
449,5,1,5,2,3,,4,3,3,few hours a day,5,19,1,female,village
450,5,1,5,3,2,5,1,3,3,few hours a day,1,22,1,male,village
451,5,3,4,3,2,3,2,1,4,less than an hour a day,4,20,1,male,village
452,5,3,5,1,3,5,5,1,4,less than an hour a day,3,28,2,female,city
453,5,1,5,2,2,3,4,3,3,few hours a day,5,19,1,female,village
454,4,1,5,3,3,5,5,2,4,few hours a day,4,21,0,female,city
455,5,4,5,1,2,3,4,4,5,less than an hour a day,3,19,1,female,village
456,5,1,5,5,5,5,1,1,5,few hours a day,5,22,2,male,city
457,5,4,5,3,5,2,2,3,3,few hours a day,5,19,2,male,city
458,5,5,1,5,1,1,1,1,5,few hours a day,3,18,1,female,village
459,4,3,5,2,1,2,2,3,4,less than an hour a day,4,19,0,female,city
460,5,1,5,4,1,5,1,2,3,few hours a day,1,22,2,male,city
461,5,2,4,3,3,3,1,3,3,few hours a day,3,29,3,male,village
462,4,3,4,3,3,2,3,4,4,few hours a day,4,,2,female,village
463,5,1,5,1,3,4,2,5,3,less than an hour a day,3,18,0,female,city
464,5,3,3,2,1,1,4,2,5,few hours a day,3,22,1,female,city
465,5,2,5,5,2,1,1,1,4,less than an hour a day,4,17,1,female,city
466,5,5,5,1,1,1,3,1,3,few hours a day,1,19,0,male,city
467,4,2,5,1,3,1,5,2,4,few hours a day,4,20,1,female,village
468,5,2,3,3,4,4,2,2,4,few hours a day,3,18,1,female,village
469,5,4,5,3,3,1,1,4,2,most of the day,4,22,2,male,city
470,4,1,4,4,2,2,1,3,4,few hours a day,5,19,1,female,village
471,5,2,5,3,3,1,3,1,3,few hours a day,1,20,1,male,city
472,3,1,3,2,5,2,1,5,3,few hours a day,3,25,1,male,village
473,5,1,5,5,2,5,2,5,1,less than an hour a day,5,29,0,male,village
474,5,5,5,3,5,5,3,2,4,few hours a day,3,19,1,male,village
475,5,1,4,4,3,5,1,3,3,few hours a day,1,18,4,female,city
476,5,1,5,3,1,5,2,3,3,few hours a day,3,20,2,female,city
477,5,1,5,2,4,4,2,4,4,most of the day,3,18,3,female,city
478,5,3,5,2,1,4,2,4,2,most of the day,3,30,3,male,city
479,5,2,5,2,1,5,3,2,3,few hours a day,3,20,1,female,city
480,5,4,5,3,3,5,2,3,4,few hours a day,3,21,2,female,city
481,5,5,5,5,1,1,1,3,4,few hours a day,3,22,1,male,city
482,3,1,5,4,4,5,2,1,3,few hours a day,4,22,2,male,city
483,5,1,5,3,4,3,4,5,3,few hours a day,1,20,1,female,city
484,5,2,5,4,4,1,5,3,3,few hours a day,2,20,1,female,city
485,5,1,5,1,1,1,5,5,3,few hours a day,3,19,1,female,city
486,3,2,5,4,3,1,5,2,2,few hours a day,2,28,1,female,city
487,5,1,5,1,1,1,3,1,3,most of the day,1,19,3,female,village
488,5,1,5,5,3,3,1,3,4,few hours a day,2,22,1,male,city
489,5,1,5,5,1,2,5,1,3,few hours a day,4,20,2,female,village
490,4,4,1,1,1,1,5,3,4,less than an hour a day,3,16,1,female,city
491,5,1,5,2,2,2,5,3,3,less than an hour a day,3,19,1,female,city
492,5,2,5,5,3,5,4,5,4,few hours a day,2,20,2,female,city
493,5,2,5,3,2,5,2,2,3,most of the day,5,21,1,male,city
494,5,1,5,2,4,1,1,3,4,few hours a day,3,19,1,female,city
495,5,2,5,2,2,4,4,3,4,most of the day,4,20,2,female,city
496,3,2,4,3,3,2,5,3,3,less than an hour a day,3,25,1,female,city
497,5,1,3,3,1,1,1,1,2,less than an hour a day,3,20,1,female,city
498,5,1,5,4,1,5,1,3,3,few hours a day,2,19,3,female,village
499,5,3,5,3,2,1,1,2,3,most of the day,5,22,3,male,city
500,5,4,5,4,3,5,2,4,4,few hours a day,3,19,2,female,city
501,5,2,4,3,4,1,5,4,3,few hours a day,5,21,1,female,city
502,5,3,5,2,3,1,3,2,4,most of the day,2,22,6,male,village
503,5,5,5,4,5,3,4,3,3,few hours a day,5,28,1,female,city
504,5,1,5,3,5,5,1,1,4,few hours a day,2,21,1,female,village
505,5,1,5,2,3,1,1,2,3,few hours a day,2,20,3,male,village
506,5,2,5,2,2,4,2,1,4,few hours a day,2,19,1,male,city
507,5,1,4,3,2,3,5,4,3,few hours a day,3,21,1,female,village
508,5,1,5,3,1,3,4,2,4,few hours a day,4,20,0,male,village
509,4,4,4,5,1,4,1,1,5,few hours a day,4,16,1,female,village
510,5,2,4,3,3,5,1,2,3,less than an hour a day,3,22,1,male,village
511,5,1,5,2,4,4,2,3,4,few hours a day,4,19,2,male,city
512,5,4,4,1,1,1,5,1,4,few hours a day,5,22,1,female,village
513,5,3,4,2,5,4,1,3,3,most of the day,4,20,0,male,village
514,5,1,5,3,1,2,4,3,3,few hours a day,4,22,0,male,city
515,5,1,5,3,4,1,2,3,2,most of the day,5,19,1,male,city
516,5,4,5,5,1,5,5,3,5,few hours a day,3,22,2,male,city
517,5,4,5,4,2,2,1,1,4,few hours a day,3,17,1,female,village
518,5,4,4,3,1,5,2,4,4,less than an hour a day,4,18,1,female,city
519,5,4,4,4,2,2,1,2,3,few hours a day,1,19,1,male,city
520,5,2,5,4,3,3,5,3,3,less than an hour a day,3,23,1,female,city
521,5,3,5,3,1,4,1,4,3,few hours a day,1,20,0,female,city
522,5,4,5,2,1,5,2,1,3,few hours a day,3,18,2,female,city
523,5,3,5,2,,4,1,3,3,few hours a day,1,19,3,male,village
524,5,1,5,3,3,5,2,3,4,less than an hour a day,4,19,4,female,city
525,3,1,4,3,3,4,1,4,3,few hours a day,3,28,2,female,village
526,5,1,5,4,5,5,1,2,4,few hours a day,4,21,1,male,village
527,4,2,4,2,5,5,3,1,3,few hours a day,4,23,1,female,city
528,5,3,5,2,5,1,1,4,3,most of the day,3,20,2,male,city
529,5,1,4,5,1,3,1,3,3,few hours a day,3,20,1,male,city
530,5,1,4,5,3,2,3,3,2,most of the day,4,28,2,female,city
531,5,1,5,5,3,1,2,4,1,few hours a day,3,22,1,male,village
532,5,4,5,5,1,1,2,2,4,few hours a day,2,19,0,female,city
533,5,3,5,3,3,1,1,4,3,few hours a day,3,21,3,male,city
534,5,2,5,3,1,5,5,4,3,few hours a day,3,21,1,female,city
535,5,4,5,3,3,5,1,3,3,few hours a day,1,17,2,male,village
536,5,5,5,3,1,5,5,1,3,few hours a day,1,19,1,female,city
537,5,2,5,4,2,1,2,2,3,few hours a day,3,25,3,male,city
538,5,3,5,4,1,5,5,1,3,few hours a day,4,20,1,female,village
539,5,1,5,5,1,1,4,5,3,most of the day,1,26,2,male,city
540,5,3,5,3,3,5,3,3,3,few hours a day,3,21,0,male,city
541,5,1,5,2,1,3,3,1,4,few hours a day,2,20,2,female,city
542,5,2,5,4,2,2,4,3,3,most of the day,2,29,1,,city
543,5,4,5,3,2,2,4,3,4,most of the day,3,25,1,male,city
544,5,1,5,3,1,5,1,5,4,few hours a day,1,21,2,male,city
545,5,3,5,3,1,1,3,4,5,most of the day,3,20,3,male,village
546,5,1,5,3,4,2,1,3,4,few hours a day,4,27,3,male,village
547,5,1,5,5,1,4,1,1,4,few hours a day,3,21,2,male,village
548,4,1,4,2,1,3,1,1,4,less than an hour a day,4,20,1,female,city
549,5,4,4,2,1,2,2,3,3,less than an hour a day,3,,1,female,village
550,5,1,5,3,3,5,5,5,3,few hours a day,1,17,3,female,village
551,5,1,3,4,3,1,5,2,4,less than an hour a day,2,16,,female,village
552,5,2,5,4,3,5,5,3,2,few hours a day,3,19,3,female,city
553,3,3,4,2,3,5,5,3,3,few hours a day,2,18,1,female,village
554,4,3,4,2,5,3,2,3,3,few hours a day,3,19,0,male,village
555,5,2,4,1,1,3,1,4,2,few hours a day,1,21,1,female,village
556,5,2,5,2,1,2,5,2,4,few hours a day,3,16,0,female,city
557,5,1,5,5,1,5,5,3,4,few hours a day,4,20,2,female,city
558,,2,3,3,2,4,5,2,4,few hours a day,2,19,2,female,city
559,5,1,5,1,1,2,1,5,3,most of the day,3,20,1,female,village
560,5,2,3,1,1,5,1,4,4,less than an hour a day,4,16,2,female,village
561,5,4,4,4,2,3,2,3,4,less than an hour a day,5,20,1,male,city
562,5,1,5,3,1,3,1,3,3,less than an hour a day,3,18,0,male,village
563,5,2,5,5,1,4,4,1,4,few hours a day,1,20,1,male,village
564,5,2,5,3,2,3,5,2,4,less than an hour a day,4,20,2,male,village
565,5,3,5,1,2,2,5,5,3,few hours a day,3,16,2,female,city
566,5,2,5,4,3,4,3,3,4,less than an hour a day,3,19,1,female,village
567,5,2,4,1,3,2,1,3,2,few hours a day,2,19,1,male,city
568,5,3,5,1,1,1,3,4,4,most of the day,3,23,1,female,city
569,5,2,5,4,3,5,2,3,3,few hours a day,3,20,1,female,city
570,5,1,5,4,1,3,1,3,3,few hours a day,3,23,4,male,village
571,3,4,4,1,4,4,3,4,5,few hours a day,5,19,2,male,village
572,5,1,4,2,3,5,2,2,4,few hours a day,5,22,3,female,city
573,4,4,5,3,1,4,5,1,3,most of the day,1,17,3,male,city
574,5,5,5,3,1,4,1,3,3,less than an hour a day,3,20,1,female,village
575,5,2,4,2,2,4,2,4,2,less than an hour a day,4,21,1,female,city
576,5,3,5,3,3,4,4,2,3,few hours a day,1,21,3,male,city
577,5,2,5,3,4,5,5,2,2,few hours a day,3,19,1,female,city
578,5,1,5,2,1,5,4,3,4,few hours a day,3,20,0,female,village
579,5,5,5,5,5,2,2,4,3,most of the day,1,19,0,male,city
580,5,3,5,3,2,,1,1,3,few hours a day,5,21,0,male,city
581,5,5,4,1,3,5,5,3,4,few hours a day,4,22,1,female,city
582,3,4,5,5,3,1,4,3,2,few hours a day,5,22,3,male,city
583,5,1,5,5,2,4,1,3,4,most of the day,3,22,1,male,city
584,5,4,4,3,2,5,3,4,4,most of the day,2,28,1,female,city
585,5,4,4,2,1,3,3,3,4,less than an hour a day,3,21,1,male,city
586,5,5,5,4,1,4,3,,3,few hours a day,2,21,2,male,village
587,5,2,4,4,1,5,3,4,2,few hours a day,2,17,3,female,city
588,5,1,5,3,1,3,5,2,3,less than an hour a day,2,21,1,female,city
589,5,2,5,5,1,4,5,3,4,few hours a day,1,17,1,female,village
590,5,1,5,4,5,4,1,3,4,few hours a day,2,28,1,male,city
591,4,1,3,3,1,3,1,1,3,few hours a day,4,20,1,female,city
592,5,4,4,3,1,5,1,3,4,few hours a day,3,19,0,female,city
593,5,1,4,2,1,5,2,2,3,less than an hour a day,4,21,1,female,city
594,5,1,4,5,2,1,1,5,1,few hours a day,2,23,1,male,city
595,5,1,5,4,1,5,1,5,2,most of the day,1,17,1,male,village
596,5,5,3,2,1,4,1,5,3,few hours a day,4,20,0,male,city
597,5,3,5,2,2,2,1,2,4,less than an hour a day,3,19,1,male,city
598,4,3,5,3,2,5,4,4,3,few hours a day,5,19,1,male,city
599,5,3,5,4,4,2,2,2,4,few hours a day,2,19,1,male,city
600,5,4,5,2,1,5,5,4,3,most of the day,3,18,0,female,city
601,5,1,5,3,2,5,3,3,3,few hours a day,3,19,1,female,village
602,4,3,5,4,2,3,3,2,3,few hours a day,5,22,1,male,village
603,5,4,,3,2,3,3,3,4,few hours a day,3,21,1,female,city
604,5,1,5,5,1,5,5,5,3,few hours a day,3,21,1,female,city
605,5,1,5,3,2,5,5,1,4,less than an hour a day,3,21,1,male,village
606,4,1,5,2,2,4,1,4,4,few hours a day,4,22,1,male,village
607,3,1,4,4,1,5,2,2,5,less than an hour a day,3,19,1,female,city
608,3,1,5,5,5,4,2,1,2,few hours a day,3,25,1,male,city
609,4,4,3,5,5,3,1,3,4,few hours a day,4,18,2,male,city
610,5,3,4,2,2,1,5,3,2,few hours a day,3,20,1,male,city
611,5,3,5,3,3,5,4,3,3,most of the day,2,18,0,female,city
612,5,5,3,4,3,2,3,1,4,most of the day,3,23,2,male,village
613,5,3,5,4,1,5,5,4,4,most of the day,2,18,1,female,city
614,5,5,5,3,1,5,1,3,2,few hours a day,5,22,1,female,village
615,5,3,5,2,2,2,1,3,4,few hours a day,1,20,0,male,city
616,3,4,5,4,3,4,1,1,1,few hours a day,3,19,1,male,city
617,5,1,4,3,1,1,1,3,5,most of the day,3,19,1,female,city
618,5,1,5,5,1,1,3,5,4,most of the day,3,23,0,female,city
619,5,2,5,3,5,1,3,2,3,few hours a day,2,27,4,male,city
620,5,2,5,4,1,2,3,4,2,most of the day,1,20,2,male,city
621,4,5,5,1,1,3,5,5,4,most of the day,3,20,3,,city
622,5,4,5,2,1,5,2,2,4,few hours a day,3,18,1,female,city
623,5,1,5,5,1,3,1,4,3,few hours a day,1,21,3,male,city
624,5,1,5,3,1,2,5,2,2,few hours a day,1,21,1,female,city
625,5,2,5,2,3,5,5,1,3,few hours a day,4,19,1,female,city
626,5,4,5,2,2,4,2,3,3,less than an hour a day,4,22,0,female,village
627,5,2,5,3,3,1,3,3,3,less than an hour a day,5,20,1,female,city
628,4,2,5,2,4,4,1,4,4,few hours a day,3,19,0,male,city
629,5,3,5,2,1,5,3,3,4,few hours a day,1,20,0,female,city
630,5,5,4,3,3,1,5,3,3,few hours a day,3,19,1,female,city
631,5,3,5,3,4,5,4,2,3,few hours a day,2,18,1,female,village
632,5,4,4,4,3,4,1,3,4,few hours a day,2,17,1,male,village
633,5,1,5,1,1,3,1,1,3,less than an hour a day,2,21,2,male,city
634,5,2,4,3,2,2,4,2,4,few hours a day,3,19,1,female,village
635,4,1,4,4,1,2,3,3,4,less than an hour a day,3,25,1,female,city
636,5,3,5,5,1,4,3,1,4,few hours a day,1,24,2,male,village
637,5,2,,4,5,5,1,2,3,less than an hour a day,2,29,1,male,village
638,5,1,4,4,1,5,3,3,3,few hours a day,2,21,1,female,city
639,5,1,5,2,3,1,3,5,3,few hours a day,3,18,1,male,city
640,5,1,5,4,3,4,5,3,5,few hours a day,2,21,3,female,city
641,5,3,5,2,2,3,2,4,3,most of the day,4,17,2,male,city
642,4,3,4,3,4,5,1,5,4,most of the day,4,22,0,male,city
643,5,2,5,4,2,5,2,2,4,few hours a day,4,18,2,female,village
644,4,1,5,3,4,5,4,2,5,few hours a day,4,18,3,female,village
645,5,5,4,5,3,5,1,3,4,few hours a day,4,23,1,male,village
646,4,2,5,2,1,1,2,1,3,few hours a day,3,22,1,male,city
647,5,1,5,5,1,5,3,3,3,most of the day,3,21,0,female,village
648,5,2,5,2,2,2,4,2,3,few hours a day,3,23,3,female,city
649,5,2,5,3,1,5,5,4,3,few hours a day,2,17,1,female,city
650,5,3,5,3,4,5,2,4,2,few hours a day,3,20,1,male,city
651,5,4,5,5,1,2,1,2,3,few hours a day,5,22,1,male,city
652,4,1,5,3,4,1,4,5,4,few hours a day,4,21,0,male,city
653,5,1,5,3,1,5,2,3,4,few hours a day,5,22,0,female,village
654,4,3,4,4,3,4,4,3,3,few hours a day,4,24,2,male,village
655,5,4,5,1,3,1,4,4,4,few hours a day,3,19,1,female,village
656,5,1,5,5,5,5,5,3,,few hours a day,3,18,1,female,city
657,5,1,5,1,1,3,4,3,3,most of the day,3,24,1,female,city
658,5,4,5,1,5,4,1,1,3,few hours a day,4,22,3,male,city
659,5,1,2,2,3,2,1,5,3,few hours a day,4,20,1,male,village
660,5,1,5,5,2,1,2,5,4,less than an hour a day,5,20,1,female,city
661,5,2,3,4,2,4,2,2,3,few hours a day,2,19,1,female,city
662,5,2,4,3,4,5,4,2,2,few hours a day,4,21,1,female,city
663,5,2,4,4,3,1,2,3,3,no time at all,3,25,1,male,city
664,5,1,5,3,1,2,2,2,4,few hours a day,4,28,1,female,village
665,5,4,5,4,1,5,3,3,3,few hours a day,3,20,1,female,city
666,5,1,4,3,1,5,2,5,3,few hours a day,2,20,2,female,city
667,5,1,3,5,2,4,2,2,3,few hours a day,4,23,1,male,city
668,5,1,4,2,4,2,2,4,2,few hours a day,3,27,1,male,city
669,4,4,4,4,2,3,2,3,3,few hours a day,4,21,1,male,village
670,5,2,3,3,2,4,1,3,3,few hours a day,3,23,1,female,city
671,5,4,4,3,3,5,2,3,4,few hours a day,3,22,2,female,city
